{'ratio': 10000, 'chiN_hz': 20000.0, 'shape': 'voigt', 'xi2': 0.019030778394524026, 't': 0.00041618888751358867, 'contrast': 0.9581079663590332, 'f_out': 0.02336478057698757, 'var_tot': 43674252.03318834, 'var_ii': 73774162.13770247, 'var_oo': 78899097.34439567, 'var_io': -108999007.44892259, 'Jn': 4790539902.366299, 'J_i': 4743131633.429418, 'J_o': 47634967.72487221, 'N_tot': 9999999999.999998, 'xi2_core': 0.014315308772535444, 'n_out': 233647805.76987568}
{'ratio': 10000, 'chiN_hz': 40000.0, 'shape': 'voigt', 'xi2': 0.010673218051293974, 't': 0.0001522443850697593, 'contrast': 0.9791535131671183, 'f_out': 0.010833651547096314, 'var_tot': 25582145.514861584, 'var_ii': 24278873.261765003, 'var_oo': 19662497.500311047, 'var_io': -18359225.247215685, 'Jn': 4895767572.830966, 'J_i': 4874479785.254565, 'J_o': 21322865.77236789, 'N_tot': 9999999999.999998, 'xi2_core': 0.00892633413098047, 'n_out': 108336515.47096312}
{'ratio': 10000, 'chiN_hz': 80000.0, 'shape': 'voigt', 'xi2': 0.006572470012880389, 't': 7.719984732223817e-05, 'contrast': 0.9861280755550185, 'f_out': 0.006167022320941224, 'var_tot': 15978472.869872093, 'var_ii': 17713688.559818268, 'var_oo': 10140842.157555994, 'var_io': -11876057.847504277, 'Jn': 4930640380.723357, 'J_i': 4928884973.333431, 'J_o': 1854055.7777982908, 'N_tot': 9999999999.999998, 'xi2_core': 0.007187157934329862, 'n_out': 61670223.20941223}
{'ratio': 100, 'chiN_hz': 5000.0, 'shape': 'gaussian', 'xi2': 0.10729814776927618, 't': 0.0004216619290025169, 'contrast': 0.915963953309367, 'f_out': 1.6067147612375358e-12, 'var_tot': 225082619.65219975, 'var_ii': 225082619.6502571, 'var_oo': 0.0019783052253631002, 'var_io': -3.3689606505265304e-05, 'Jn': 4580099026.809791, 'J_i': 4580099026.804783, 'J_o': 0.005501530921314378, 'N_tot': 10000000000.0, 'xi2_core': 0.10729814776839781, 'n_out': 0.01606714761237536}
{'ratio': 100, 'chiN_hz': 10000.0, 'shape': 'gaussian', 'xi2': 0.07462505274287906, 't': 0.0001663220291361948, 'contrast': 0.9526290871416498, 'f_out': 1.6067147612375358e-12, 'var_tot': 169313127.50235748, 'var_ii': 169313127.50578928, 'var_oo': 0.001966292972337147, 'var_io': -0.005398979239846179, 'Jn': 4763245769.731386, 'J_i': 4763245769.736829, 'J_o': 0.005467734336915736, 'N_tot': 10000000000.0, 'xi2_core': 0.07462505274410056, 'n_out': 0.01606714761237536}
{'ratio': 100, 'chiN_hz': 20000.0, 'shape': 'gaussian', 'xi2': 0.0703387216659068, 't': 6.634749424598075e-05, 'contrast': 0.944558291348789, 'f_out': 0.0, 'var_tot': 156890686.19207, 'var_ii': 156890686.19206905, 'var_oo': 0.0, 'var_io': 0.0, 'Jn': 4722819477.351836, 'J_i': 4722819477.351836, 'J_o': 0.0, 'N_tot': 10000000000.0, 'xi2_core': 0.0703387216659068, 'n_out': 0.0}
{'ratio': 100, 'chiN_hz': 40000.0, 'shape': 'gaussian', 'xi2': 0.06686684755323631, 't': 2.6185935733931608e-05, 'contrast': 0.9783002105932427, 'f_out': 0.0, 'var_tot': 159990942.70058012, 'var_ii': 159990942.70058012, 'var_oo': 0.0, 'var_io': 0.0, 'Jn': 4891502437.519297, 'J_i': 4891502437.519297, 'J_o': 0.0, 'N_tot': 10000000000.0, 'xi2_core': 0.06686684755323631, 'n_out': 0.0}
{'ratio': 100, 'chiN_hz': 80000.0, 'shape': 'gaussian', 'xi2': 0.06593479085159033, 't': 1.3723547752025507e-05, 'contrast': 0.9947325717708132, 'f_out': 0.0, 'var_tot': 163105023.42357922, 'var_ii': 163105023.42358017, 'var_oo': 0.0, 'var_io': 0.0, 'Jn': 4973662960.304285, 'J_i': 4973662960.304285, 'J_o': 0.0, 'N_tot': 10000000000.0, 'xi2_core': 0.06593479085159033, 'n_out': 0.0}
{'ratio': 1000, 'chiN_hz': 5000.0, 'shape': 'gaussian', 'xi2': 0.05113018915160595, 't': 0.0004308869380063765, 'contrast': 0.9132337157794715, 'f_out': 1.6067147612375358e-12, 'var_tot': 106606029.85341549, 'var_ii': 106606029.85147572, 'var_oo': 0.0010252524097715855, 'var_io': 0.0009121203708816304, 'Jn': 4566171145.173983, 'J_i': 4566171145.1701565, 'J_o': 0.003831737635091356, 'N_tot': 10000000000.0, 'xi2_core': 0.05113018915067912, 'n_out': 0.01606714761237536}
{'ratio': 1000, 'chiN_hz': 10000.0, 'shape': 'gaussian', 'xi2': 0.015704414146513874, 't': 0.0002251142311073463, 'contrast': 0.9916659240733495, 'f_out': 1.6067147612375358e-12, 'var_tot': 38609357.15412998, 'var_ii': 38609357.15247774, 'var_oo': 0.0040146110024133356, 'var_io': -0.0023646322563966697, 'Jn': 4958329860.551236, 'J_i': 4958329860.543237, 'J_o': 0.008004842908756762, 'N_tot': 10000000000.0, 'xi2_core': 0.01570441414586707, 'n_out': 0.01606714761237536}
{'ratio': 1000, 'chiN_hz': 20000.0, 'shape': 'gaussian', 'xi2': 0.014235244666391061, 't': 0.0001113110008438387, 'contrast': 0.998158519489682, 'f_out': 0.0, 'var_tot': 35457162.89256859, 'var_ii': 35457162.89256954, 'var_oo': 0.0, 'var_io': 0.0, 'Jn': 4990792609.664021, 'J_i': 4990792609.664021, 'J_o': 0.0, 'N_tot': 10000000000.0, 'xi2_core': 0.014235244666391061, 'n_out': 0.0}
{'ratio': 1000, 'chiN_hz': 40000.0, 'shape': 'gaussian', 'xi2': 0.01430939675531948, 't': 5.799918782900285e-05, 'contrast': 0.99850169668925, 'f_out': 0.0, 'var_tot': 35666373.15789461, 'var_ii': 35666373.15789461, 'var_oo': 0.0, 'var_io': 0.0, 'Jn': 4992508486.51823, 'J_i': 4992508486.51823, 'J_o': 0.0, 'N_tot': 10000000000.0, 'xi2_core': 0.01430939675531948, 'n_out': 0.0}
{'ratio': 1000, 'chiN_hz': 80000.0, 'shape': 'gaussian', 'xi2': 0.014341003915871047, 't': 2.8600615457746755e-05, 'contrast': 0.9996142736028778, 'f_out': 0.0, 'var_tot': 35824856.607415676, 'var_ii': 35824856.60741615, 'var_oo': 0.0, 'var_io': 0.0, 'Jn': 4998071368.173823, 'J_i': 4998071368.173823, 'J_o': 0.0, 'N_tot': 10000000000.0, 'xi2_core': 0.014341003915871047, 'n_out': 0.0}
{'ratio': 10000, 'chiN_hz': 5000.0, 'shape': 'gaussian', 'xi2': 0.045897588895143455, 't': 0.0004308869380063765, 'contrast': 0.9132462975529465, 'f_out': 1.6067147612375358e-12, 'var_tot': 95698631.10804176, 'var_ii': 95698631.10607862, 'var_oo': 0.0010237162345945073, 'var_io': 0.000939268776969728, 'Jn': 4566231513.427109, 'J_i': 4566231513.423282, 'J_o': 0.0038288325990789404, 'N_tot': 10000000000.0, 'xi2_core': 0.04589758889420535, 'n_out': 0.01606714761237536}
{'ratio': 10000, 'chiN_hz': 10000.0, 'shape': 'gaussian', 'xi2': 0.005713301830063611, 't': 0.0004216619290025169, 'contrast': 0.9878906508821186, 'f_out': 1.6067147612375358e-12, 'var_tot': 13939427.223178864, 'var_ii': 13939427.222904205, 'var_oo': 0.0029038998717888795, 'var_io': -0.002632164987594801, 'Jn': 4939453260.838931, 'J_i': 4939453260.833375, 'J_o': 0.005557258451382534, 'N_tot': 10000000000.0, 'xi2_core': 0.005713301829954515, 'n_out': 0.01606714761237536}
{'ratio': 10000, 'chiN_hz': 20000.0, 'shape': 'gaussian', 'xi2': 0.0032965714878554525, 't': 0.0002251142311073463, 'contrast': 0.9832630546081972, 'f_out': 0.0, 'var_tot': 7967864.694971561, 'var_ii': 7967864.694971085, 'var_oo': 0.0, 'var_io': 0.0, 'Jn': 4916315281.421376, 'J_i': 4916315281.421376, 'J_o': 0.0, 'N_tot': 10000000000.0, 'xi2_core': 0.0032965714878554525, 'n_out': 0.0}
{'ratio': 10000, 'chiN_hz': 40000.0, 'shape': 'gaussian', 'xi2': 0.003148291909921402, 't': 0.0001113110008438387, 'contrast': 0.9957042561128994, 'f_out': 0.0, 'var_tot': 7803253.739324093, 'var_ii': 7803253.739326477, 'var_oo': 0.0, 'var_io': 0.0, 'Jn': 4978521280.981653, 'J_i': 4978521280.981653, 'J_o': 0.0, 'N_tot': 10000000000.0, 'xi2_core': 0.003148291909921402, 'n_out': 0.0}
{'ratio': 10000, 'chiN_hz': 80000.0, 'shape': 'gaussian', 'xi2': 0.0031277111585615307, 't': 6.355538591359796e-05, 'contrast': 0.9943101299260451, 'f_out': 0.0, 'var_tot': 7730549.6926345825, 'var_ii': 7730549.692635536, 'var_oo': 0.0, 'var_io': 0.0, 'Jn': 4971550649.847, 'J_i': 4971550649.847, 'J_o': 0.0, 'N_tot': 10000000000.0, 'xi2_core': 0.0031277111585615307, 'n_out': 0.0}
